20260402_063128 | score=94 | perf=100 a11y=100 seo=100 bp=100 copy=72 | 420bf43 experiment: Fix weak default meta description fallback — score 100 vs baseline 100
20260402_063216 | score=84 | perf=100 a11y=100 seo=100 bp=100 copy=23 | 420bf43 experiment: Fix weak default meta description fallback — score 100 vs baseline 100
20260402_063306 | score=84 | perf=100 a11y=100 seo=100 bp=100 copy=22 | 420bf43 experiment: Fix weak default meta description fallback — score 100 vs baseline 100
20260402_063410 | score=85 | perf=100 a11y=100 seo=100 bp=100 copy=25 | 420bf43 experiment: Fix weak default meta description fallback — score 100 vs baseline 100
20260402_063506 | score=94 | perf=99 a11y=100 seo=100 bp=100 copy=72 | 420bf43 experiment: Fix weak default meta description fallback — score 100 vs baseline 100
20260402_063534 | score=40 | perf=33 a11y=33 seo=33 bp=33 copy=72 | 420bf43 experiment: Fix weak default meta description fallback — score 100 vs baseline 100
20260402_063622 | score=94 | perf=99 a11y=100 seo=100 bp=100 copy=72 | 420bf43 experiment: Fix weak default meta description fallback — score 100 vs baseline 100
20260402_063832 | score=94 | perf=99 a11y=100 seo=100 bp=100 copy=72 | 9b92868 experiment: Direct hero headline 'Production AI, Shipped in Weeks' + clearer value prop — score 94 vs baseline 84
20260402_064109 | score=32 | perf=32 a11y=33 seo=33 bp=33 copy=0 | 31bf644 experiment: Reframe insight section as 'Why most AI projects fail' with stat-first structure — score 94 vs baseline 94
20260402_064151 | score=65 | perf=65 a11y=66 seo=66 bp=66 copy=0 | 31bf644 experiment: Reframe insight section as 'Why most AI projects fail' with stat-first structure — score 94 vs baseline 94
20260402_064234 | score=94 | perf=99 a11y=100 seo=100 bp=100 copy=72 | 31bf644 experiment: Reframe insight section as 'Why most AI projects fail' with stat-first structure — score 94 vs baseline 94
20260402_064439 | score=39 | perf=32 a11y=33 seo=30 bp=32 copy=72 | 3f3121e experiment: Lead clients section with named clients for stronger social proof — score 94 vs baseline 94
20260402_064554 | score=94 | perf=99 a11y=100 seo=100 bp=100 copy=72 | 3f3121e experiment: Lead clients section with named clients for stronger social proof — score 94 vs baseline 94
20260402_064619 | score=40 | perf=33 a11y=33 seo=33 bp=33 copy=72 | 3f3121e experiment: Lead clients section with named clients for stronger social proof — score 94 vs baseline 94
20260402_064657 | score=94 | perf=99 a11y=100 seo=100 bp=100 copy=72 | 3f3121e experiment: Lead clients section with named clients for stronger social proof — score 94 vs baseline 94
20260402_064950 | score=66 | perf=62 a11y=66 seo=66 bp=66 copy=72 | d554ed7 experiment: Sharper engagement model copy — outcome-focused, less jargon — score 94 vs baseline 94
20260402_065133 | score=14 | perf=0 a11y=0 seo=0 bp=0 copy=72 | d554ed7 experiment: Sharper engagement model copy — outcome-focused, less jargon — score 94 vs baseline 94
20260402_065213 | BUILD_FAILED | score=0 | d554ed7 experiment: Sharper engagement model copy — outcome-focused, less jargon — score 94 vs baseline 94
20260402_065219 | BUILD_FAILED | score=0 | d554ed7 experiment: Sharper engagement model copy — outcome-focused, less jargon — score 94 vs baseline 94
20260402_065217 | score=94 | perf=99 a11y=100 seo=100 bp=100 copy=72 | d554ed7 experiment: Sharper engagement model copy — outcome-focused, less jargon — score 94 vs baseline 94
20260402_065249 | score=40 | perf=33 a11y=33 seo=33 bp=33 copy=72 | cedafef experiment: Action-oriented hero CTAs — 'Get Your AI Roadmap' vs passive 'Find Your Starting Point' — score 94 vs baseline 94
20260402_065355 | score=93 | perf=99 a11y=100 seo=97 bp=98 copy=72 | cedafef experiment: Action-oriented hero CTAs — 'Get Your AI Roadmap' vs passive 'Find Your Starting Point' — score 94 vs baseline 94
20260402_065412 | score=67 | perf=66 a11y=66 seo=66 bp=66 copy=72 | cedafef experiment: Action-oriented hero CTAs — 'Get Your AI Roadmap' vs passive 'Find Your Starting Point' — score 94 vs baseline 94
20260402_065503 | BUILD_FAILED | score=0 | cedafef experiment: Action-oriented hero CTAs — 'Get Your AI Roadmap' vs passive 'Find Your Starting Point' — score 94 vs baseline 94
20260402_065520 | score=95 | perf=99 a11y=100 seo=100 bp=100 copy=78 | cedafef experiment: Action-oriented hero CTAs — 'Get Your AI Roadmap' vs passive 'Find Your Starting Point' — score 94 vs baseline 94
20260402_065824 | score=94 | perf=100 a11y=100 seo=100 bp=100 copy=72 | cedafef experiment: Action-oriented hero CTAs — 'Get Your AI Roadmap' vs passive 'Find Your Starting Point' — score 94 vs baseline 94
20260402_065909 | score=94 | perf=100 a11y=100 seo=100 bp=100 copy=72 | dc11129 experiment: Consistent page title + concise subhead naming clients and founders — score 94 vs baseline 94
20260402_065958 | score=94 | perf=100 a11y=100 seo=100 bp=100 copy=72 | dc11129 experiment: Consistent page title + concise subhead naming clients and founders — score 94 vs baseline 94
