Agent,Joy,Difficulty,Code,Testing,Tooling,Doc,Polish,Hire
aider,1,5,4,2.0,4.0,3.0,3.5,3
Claude Code,3,3,4,4.0,4.5,3.0,4.0,4
Codex,2,3,4,4.0,4.0,3.0,4.0,4
Codex Agent,3,2,4,3.0,4.0,3.0,4.0,4
Copilot,0,4,3,2.0,3.0,2.0,3.0,2
Copilot Agent,4,2,4,5.0,4.0,4.0,4.0,5
Cursor,4,2,4,4.0,4.0,3.5,4.0,4
Cursor Agent,5,1,5,5.0,5.0,4.0,5.0,5
Goosee,2,5,4,4.0,4.0,3.5,4.0,4
Jules,4,2,4,5.0,4.0,4.0,4.0,5
Replit,3,1,4,1.0,4.0,2.0,4.0,4
RooCode,4,5,4,4.5,4.0,3.0,4.0,5
v0,5,1,5,4.0,5.0,5.0,5.0,5
Warp,5,3,4,5.0,5.0,5.0,5.0,5
Windsurf,1,3,3,2.0,3.0,2.0,3.0,2
